Actual,Predicted
5.725953682051407867e-01,5.790998935699462891e-01
4.492600063635436847e-01,5.094316005706787109e-01
4.432795109338654171e-01,4.361564218997955322e-01
4.447128528137058723e-01,3.971444368362426758e-01
4.313154309756299654e-01,3.963119387626647949e-01
4.583759371553726147e-01,4.092717468738555908e-01
3.632131570899455042e-01,4.344481825828552246e-01
4.916331756863203672e-01,4.248948395252227783e-01
4.475610019801123940e-01,4.716651141643524170e-01
4.996184962884475667e-01,4.809879362583160400e-01
5.466994523027688402e-01,5.036958456039428711e-01
4.926834693051689307e-01,5.331612229347229004e-01
4.258569932564970628e-01,5.049299001693725586e-01
4.302002662803237065e-01,4.549995362758636475e-01
4.402151248459307276e-01,4.398026168346405029e-01
3.912158384277724110e-01,4.313321709632873535e-01
4.410028450600678163e-01,4.245672821998596191e-01
3.918738164889918885e-01,4.576063156127929688e-01
4.353528832104385238e-01,4.737932682037353516e-01
4.075911515851711187e-01,5.135824680328369141e-01
4.963316950812282080e-01,5.491294860839843750e-01
5.366351681550973751e-01,5.787323117256164551e-01
5.953836506352732094e-01,5.892289876937866211e-01
5.526892150290838579e-01,5.804286003112792969e-01
6.089324383184178124e-01,5.209745168685913086e-01
3.632780281664036437e-01,4.946008920669555664e-01
1.461576243593984969e-01,4.062408208847045898e-01
1.185905059635050662e-01,2.908974885940551758e-01
1.112044705438974823e-01,2.152725309133529663e-01
7.667143417593669241e-02,1.691107153892517090e-01
1.281358214995105271e-01,1.389960795640945435e-01
8.295157219687476768e-02,1.560125499963760376e-01
9.677220058136848380e-02,1.549731194972991943e-01
2.031762114673529851e-01,1.808218955993652344e-01
1.948325553952656719e-01,2.251730859279632568e-01
2.464884668493354525e-01,2.234708964824676514e-01
2.433592096849457320e-02,2.138038575649261475e-01
1.137375316246500567e-01,1.322457343339920044e-01
1.069044449043770051e-01,1.192577928304672241e-01
1.200362042388616324e-01,1.247759759426116943e-01
1.001763875459893427e-01,1.455109715461730957e-01
1.583070502503716170e-01,1.657010614871978760e-01
1.107967094918742568e-01,1.991935372352600098e-01
1.252784050364672552e-01,2.238633930683135986e-01
2.942891829024554262e-01,2.449623346328735352e-01
2.631417989058411067e-01,3.209809660911560059e-01
2.141641361798352072e-01,3.502892851829528809e-01
2.454011040439394442e-01,3.114872574806213379e-01
2.566145329745861403e-01,2.835023403167724609e-01
5.931378757502647758e-02,2.653172612190246582e-01
9.396420970038832365e-02,1.912505924701690674e-01
1.178213203426428102e-01,1.675654351711273193e-01
1.949406738560290897e-01,1.622783541679382324e-01
1.341070496325520445e-01,1.936096549034118652e-01
1.261989565023986515e-01,2.040820568799972534e-01
1.830229303809782770e-01,2.123692035675048828e-01
1.421417958167427997e-01,2.435121536254882812e-01
2.354109582693628688e-01,2.258991003036499023e-01
1.933065405490563826e-01,2.350508570671081543e-01
1.614795547990692803e-01,2.317045629024505615e-01
1.300510628044690975e-01,2.175551056861877441e-01
1.878975284119870359e-01,2.015777975320816040e-01
1.764369715710230047e-01,2.142034322023391724e-01
1.447366388750741528e-01,2.226962149143218994e-01
9.490020666071519173e-02,2.297912836074829102e-01
6.286934038471647668e-02,2.216465771198272705e-01
8.987115368575837593e-02,2.068172991275787354e-01
1.284231076952542239e-01,2.014426589012145996e-01
2.437546143414501820e-01,2.126830518245697021e-01
2.983606152249329568e-01,2.660010755062103271e-01
2.060120042382433958e-01,3.115488290786743164e-01
2.564415434373636948e-01,2.873809933662414551e-01
2.327944915188790986e-01,2.746011316776275635e-01
1.570961234898171632e-01,2.502547800540924072e-01
4.283684306450967760e-01,2.183412462472915649e-01
3.774508138231000842e-01,3.228819370269775391e-01
4.399216604524296415e-01,3.662854433059692383e-01
3.481012853740437230e-01,4.167243540287017822e-01
3.420312060768755380e-01,4.200064241886138916e-01
3.754428995517717915e-01,4.023669064044952393e-01
3.347502000191520111e-01,4.099628627300262451e-01
5.013885499460952744e-01,3.988268971443176270e-01
5.025685857178601168e-01,4.526354670524597168e-01
4.905303673865297753e-01,4.953830540180206299e-01
4.282325102944222195e-01,5.077190995216369629e-01
3.814388404758450868e-01,4.932306408882141113e-01
3.601518601008901754e-01,4.642488360404968262e-01
3.787018988690808996e-01,4.425576329231262207e-01
3.630154547616912808e-01,4.268105030059814453e-01
3.855782329736592295e-01,4.318824410438537598e-01
4.303485430265139300e-01,4.543870687484741211e-01
3.431463707721817968e-01,5.159286260604858398e-01
5.513547243133705145e-01,5.098778009414672852e-01
5.994427265622346290e-01,5.769200325012207031e-01
6.036747920264180500e-01,6.231431365013122559e-01
5.386647061185780849e-01,6.136364936828613281e-01
6.459892684704944266e-01,5.336261391639709473e-01
3.692739690904764949e-01,5.091286897659301758e-01
3.997849987180237541e-01,4.220540225505828857e-01
3.648750922868289059e-01,3.745016455650329590e-01
4.243093547181349123e-01,3.636095523834228516e-01
5.120953666605911891e-01,3.888273835182189941e-01
4.766016205412717532e-01,4.527578949928283691e-01
4.396312851578065839e-01,4.923723340034484863e-01
3.857357770164866473e-01,5.014148354530334473e-01
4.993373882904617034e-01,4.902212917804718018e-01
5.469342238175700643e-01,4.993779063224792480e-01
5.333452778489986557e-01,5.197233557701110840e-01
4.113289612287203134e-01,5.041457414627075195e-01
4.135160432350279969e-01,4.580015540122985840e-01
4.473880124428903926e-01,4.393038153648376465e-01
4.565719034100563789e-01,4.375001192092895508e-01
3.526237261328497574e-01,4.559030830860137939e-01
4.166700131904521598e-01,4.336870908737182617e-01
4.296874758664146476e-01,4.616927206516265869e-01
3.885283224030717797e-01,4.902424216270446777e-01
6.113573809384060809e-01,5.254223942756652832e-01
5.532514310250555845e-01,6.404869556427001953e-01
